Country,Piped Water Access,Piped Water Access (%),No Piped Water Access,No Piped Water Access (%),Piped Water Matched Population,Piped Water Coverage (%),Sewage Access,Sewage Access (%),No Sewage Access,No Sewage Access (%),Sewage Matched Population,Sewage Coverage (%),Total Population,Piped (JMP),Safely managed
Algeria,38032174,90.54,3972731,9.46,42004904,100.0,22253890,52.98,19751014,47.02,42004904,100.0,42004904,71.39,62.41009961
Angola,15090917,46.53,17341417,53.47,32432334,99.52,3702436,11.42,28729898,88.58,32432334,99.52,32587806,43.09,
Benin,3413114,29.38,8203512,70.62,11616626,100.0,920534,7.92,10696092,92.08,11616626,100.0,11616626,38.75,2.701275734
Botswana,1403848,59.85,941702,40.15,2345550,100.0,578540,24.67,1767010,75.33,2345550,100.0,2345550,91.19,
Burkina Faso,5672960,26.92,15401753,73.08,21074713,100.0,1234336,5.86,19840377,94.14,21074713,100.0,21074713,31.72,9.746474066
Burundi,2295262,20.13,9109045,79.87,11404307,100.0,606172,5.32,10798135,94.68,11404307,100.0,11404307,38.67,
Cabo Verde,458662,82.5,97316,17.5,555978,100.0,176008,31.66,379969,68.34,555978,100.0,555978,89.98,
Cameroon,13740304,52.44,12462689,47.56,26202993,99.49,6147134,23.46,20055860,76.54,26202993,99.49,26336535,41.8,
Central African Rep.,1258060,24.28,3924311,75.72,5182371,100.0,105072,2.03,5077298,97.97,5182371,100.0,5182371,,
Chad,4227559,25.17,12568952,74.83,16796511,100.0,407371,2.43,16389140,97.57,16796511,100.0,16796511,16.79,10.91219476
Comoros,221319,25.06,661679,74.94,882997,100.0,14279,1.62,868718,98.38,882997,100.0,882997,59.5,
Congo,1600762,49.01,1665504,50.99,3266266,83.28,112286,3.44,3153981,96.56,3266266,83.28,3921965,55.47,
Côte d'Ivoire,13769381,51.84,12793129,48.16,26562510,100.0,5201560,19.58,21360950,80.42,26562510,100.0,26562510,48.69,
Dem. Rep. Congo,24971617,27.56,65646164,72.44,90617781,100.0,5853766,6.46,84764015,93.54,90617781,100.0,90617781,,
Djibouti,125719,38.42,201501,61.58,327220,100.0,13443,4.11,313777,95.89,327220,100.0,327220,83.36,39.60120548
Egypt,96745782,97.82,2157837,2.18,98903619,100.0,56398611,57.02,42505008,42.98,98903619,100.0,98903619,98.69,67.1721882
Eq. Guinea,26937,25.02,80720,74.98,107657,12.08,0,0.0,107657,100.0,107657,12.08,891104,,
Eritrea,730564,21.73,2630859,78.27,3361424,100.0,277664,8.26,3083759,91.74,3361424,100.0,3361424,51.76,
Ethiopia,18474507,16.09,96332354,83.91,114806861,100.0,6979963,6.08,107826897,93.92,114806861,100.0,114806861,44.07,7.219801714
Gabon,986960,78.06,277450,21.94,1264410,56.5,438382,34.67,826029,65.33,1264410,56.5,2237701,88.44,
Gambia,1611244,64.18,899106,35.82,2510350,100.0,91666,3.65,2418685,96.35,2510350,100.0,2510350,79.17,27.98605759
Ghana,19193460,62.99,11275410,37.01,30468871,100.0,6974767,22.89,23494104,77.11,30468871,100.0,30468871,56.67,15.83410191
Guinea,3846595,29.55,9172595,70.45,13019190,100.0,224127,1.72,12795063,98.28,13019190,100.0,13019190,22.89,
Guinea-Bissau,416798,21.18,1551051,78.82,1967849,100.0,11025,0.56,1956824,99.44,1967849,100.0,1967849,47.81,15.44357478
Kenya,18183947,34.37,34728517,65.63,52912464,100.0,6166790,11.65,46745675,88.35,52912464,100.0,52912464,33.18,31.49890373
Lesotho,1256316,67.08,616510,32.92,1872826,100.0,19728,1.05,1853099,98.95,1872826,100.0,1872826,72.27,47.51624599
Liberia,1115566,23.03,3728606,76.97,4844172,100.0,207621,4.29,4636551,95.71,4844172,100.0,4844172,5.5,
Libya,5232523,92.46,426582,7.54,5659106,100.0,3213397,56.78,2445709,43.22,5659106,100.0,5659106,77.96,23.83053967
Madagascar,5305779,23.64,17134694,76.36,22440472,100.0,1550603,6.91,20889870,93.09,22440472,100.0,22440472,36.19,12.32750829
Malawi,3134068,16.61,15738265,83.39,18872333,100.0,285948,1.52,18586385,98.48,18872333,100.0,18872333,20.6,46.19080996
Mali,6717047,33.01,13629635,66.99,20346682,100.0,1212436,5.96,19134247,94.04,20346682,100.0,20346682,52.63,15.91964268
