service,threshold_pp,population_covered,population_covered_pct
Piped water,0.0,0.0,0.0
Piped water,0.8700000000000045,98903619.0,51.057415095967805
Piped water,8.380000000000003,115700130.0,59.728345876478365
Piped water,14.5,121359236.0,62.64976904618141
Piped water,18.540000000000003,132763543.0,68.53706055551285
Piped water,19.150000000000006,174768447.0,90.22142196997513
Piped water,25.180000000000003,186897942.0,96.48308021242494
Piped water,26.630000000000003,188865791.0,97.49895085755458
Piped water,30.029999999999998,192227215.0,99.23423235904896
Piped water,34.44,193110212.0,99.69006547024678
Piped water,44.94,193437432.0,99.85898757377166
Piped water,48.89,193710588.0,100.0
Sanitation,0.0,0.0,0.0
Sanitation,8.48219476,16796511.0,10.13919546120735
Sanitation,9.430099610000006,58801415.0,35.49540973602017
Sanitation,10.15218819999999,157705034.0,95.19847097664217
Sanitation,14.88357478,159672883.0,96.38636086931938
Sanitation,32.94946033,165331989.0,99.80247400553506
Sanitation,35.49120548,165659209.0,100.0
